Ngày,Tỉnh/Thành phố,Thời tiết,Mô tả,Nhiệt độ (°C),Nhiệt độ cao nhất (°C),Nhiệt độ thấp nhất (°C),Độ ẩm (%)
14-12-2023,Vĩnh Long,Clouds,mây cụm,28.01,28.01,28.01,85
14-12-2023,Bến Tre,Clouds,mây đen u ám,26.14,26.14,26.14,83
14-12-2023,Cần Thơ,Clear,bầu trời quang đãng,27.99,27.99,27.99,78
14-12-2023,Đồng Tháp,Clouds,mây đen u ám,25.12,25.12,25.12,82
14-12-2023,Hậu Giang,Clouds,mây đen u ám,28.01,28.01,28.01,87
14-12-2023,Kiên Giang,Clouds,mây đen u ám,24.31,24.31,24.31,87
14-12-2023,Long An,Clouds,mây đen u ám,24.97,24.97,24.97,84
14-12-2023,An Giang,Clouds,mây cụm,25.76,25.76,25.76,79
14-12-2023,Bà Rịa - Vũng Tàu,Clouds,mây rải rác,25.39,25.39,25.39,84
14-12-2023,Bình Dương,Clouds,mây cụm,29.73,29.73,29.73,76
14-12-2023,Bình Phước,Clouds,mây đen u ám,24.13,24.13,24.13,79
14-12-2023,Đồng Nai,Clouds,mây rải rác,23.43,23.43,23.43,86
14-12-2023,Tây Ninh,Clouds,mây cụm,24.29,24.29,24.29,74
14-12-2023,Đắk Lắk,Clouds,mây thưa,20.21,20.21,20.21,96
14-12-2023,Đồng Nai,Clouds,mây rải rác,23.43,23.43,23.43,86
14-12-2023,Bà Rịa - Vũng Tàu,Clouds,mây rải rác,25.39,25.39,25.39,84
14-12-2023,Bình Dương,Clouds,mây cụm,29.73,29.73,29.73,76
