Mã KCB,Tên cơ sở,Tên cơ sở (English),Loại hình cơ sở,Cấp cơ sở,Tỉnh/Thành phố,Quận/Huyện,Xã/Phường
     01076,Trung tâm Bác sĩ gia đình,Trung tâm Bác sĩ gia đình,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bài
     01176,Công ty TNHH hệ thống dây SUMI-HANEL (YTCQ),Công ty TNHH hệ thống dây SUMI-HANEL (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phan Chu Trinh
     01123,Công ty TNHH LDKS Thống Nhất Metropole Hà Nội (YTCQ),Công ty TNHH LDKS Thống Nhất Metropole Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền
     01103,Cục phục vụ Ngoại giao đoàn (YTCQ),Cục phục vụ Ngoại giao đoàn (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Tràng Tiền
     01105,Phòng khám đa khoa 98 Hàng Buồm (thuộc C.ty CP Dược phẩm thiết bị y tế Hà Nội),Phòng khám đa khoa 98 Hàng Buồm (thuộc C.ty CP Dược phẩm thiết bị y tế Hà Nội),Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm
     01926.,Bệnh viện Mắt Sài Gòn (CS Hai Bà Trưng-Ha Noi),Saigon Eye Hospital (CS-Hai Ba Trung District Hanoi),Bệnh viện chuyên khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du
     01115,Công ty cổ phần Cồn Rượu Hà Nội (YTCQ),Công ty cổ phần Cồn Rượu Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ
     01174,Bệnh viện Hữu Nghị (YTCQ),Bệnh viện Hữu Nghị (YTCQ),Bệnh viện đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng
     01116,Trung tâm y tế Đại học Bách Khoa Hà Nội,Trung tâm y tế Đại học Bách Khoa Hà Nội,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bách Khoa
     01118,Công ty TNHH 1TV Dệt kim Đông Xuân (YTCQ),Công ty TNHH 1TV Dệt kim Đông Xuân (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai
     01101,Công ty cổ phần Dệt 10-10 (YTCQ),Công ty cổ phần Dệt 10-10 (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai
     01162,Công ty SXKD đầu tư  Việt Hà (YTCQ),Công ty SXKD đầu tư  Việt Hà (YTCQ),Bệnh viện chuyên khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai
     01070,Phòng khám đa khoa Mai Hương,Phòng khám đa khoa Mai Hương,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Trương Định
     01090,Trung tâm y tế Giao thông 8,Trung tâm y tế Giao thông 8,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,Phường Trung Tự
     01042,Công ty TNHH khám chữa bệnh và tư vấn sức khỏe Ngọc Khánh,Công ty TNHH khám chữa bệnh và tư vấn sức khỏe Ngọc Khánh,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Thượng
     01122,Công ty TNHHNN1TV Giầy Thượng Đình (YTCQ),Công ty TNHHNN1TV Giầy Thượng Đình (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Thanh Xuân,Phường Thượng Đình
     01136,Công ty Cổ phần sản xuất hàng thể thao (YTCQ),Công ty Cổ phần sản xuất hàng thể thao (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Thanh Xuân,Phường Hạ Đình
     01148,Đại học sư phạm Hà Nội (YTCQ),Đại học sư phạm Hà Nội (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Cầu Giấy,Phường Quan Hoa
     01054,Phòng khám đa khoa GTVT Gia Lâm,Phòng khám đa khoa GTVT Gia Lâm,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Long Biên,Phường Ngọc Lâm
     01151,TYT Công ty TNHH May Đức Giang (YTCQ),TYT Công ty TNHH May Đức Giang (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Long Biên,Phường Đức Giang
     01152,Trung tâm y tế Công ty cổ phần May 10,Trung tâm y tế Công ty cổ phần May 10,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng
     01153,Công ty TNHHNN 1TV Kim khí Thăng Long (YTCQ),Công ty TNHHNN 1TV Kim khí Thăng Long (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Long Biên,Phường Sài Đồng
     01163,Công ty cổ phần chế tạo máy điện VN-Hunggari (YTCQ),Công ty cổ phần chế tạo máy điện VN-Hunggari (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Thị trấn Đông Anh
     01164,Công ty TNHHNN1TV xây lắp điện 4 (YTCQ),Công ty TNHHNN1TV xây lắp điện 4 (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Thị trấn Đông Anh
     01165,Công ty Cổ phần Kết cấu thép Xây dựng (YTCQ),Công ty Cổ phần Kết cấu thép Xây dựng (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Thị trấn Đông Anh
     01811,TTYT Huyện Đông Anh,Dong Anh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Thị trấn Đông Anh
     01166,Tổng công ty Thiết bị điện Đông Anh - Công ty cổ phần,Tổng công ty Thiết bị điện Đông Anh - Công ty cổ phần,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Xã Uy Nỗ
     01146,Phòng khám đa khoa Nam Hồng,Phòng khám đa khoa Nam Hồng,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Xã Nam Hồng
     01049,Phòng khám đa khoa cơ sở 2 BV Nam Thăng Long,Phòng khám đa khoa cơ sở 2 BV Nam Thăng Long,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Xã Hải Bối
     01084,Phòng khám đa khoa Miền Đông Đông Anh,Phòng khám đa khoa Miền Đông Đông Anh,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Huyện Đông Anh,Xã Liên Hà
     01157,Trạm y tế Học viện Nông nghiệp Việt Nam,Trạm y tế Học viện Nông nghiệp Việt Nam,Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ
     01083,Phòng khám đa khoa Chèm,Phòng khám đa khoa Chèm,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Thụy Phương
     01175,Học viện Tài chính (YTCQ),Học viện Tài chính (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Đông Ngạc
     01159,Đại học Mỏ Địa Chất (YTCQ),Đại học Mỏ Địa Chất (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Bắc Từ Liêm,Phường Đông Ngạc
     01184,Phòng khám đa khoa Thiện Nhân thuộc Công ty Cổ phần Du lịch và Dược phẩm Sơn Lâm,Phòng khám đa khoa Thiện Nhân thuộc Công ty Cổ phần Du lịch và Dược phẩm Sơn Lâm,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hà Đông,Phường Văn Quán
     01185,Phòng khám đa khoa Quang Vinh,Phòng khám đa khoa Quang Vinh,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Quận Hà Đông,Phường Phúc La
     01132,Phòng khám đa khoa TN thuộc Công ty TNHH Y tế Tây Hà Thành,Phòng khám đa khoa TN thuộc Công ty TNHH Y tế Tây Hà Thành,Phòng khám đa khoa,Tuyến tỉnh,Thành phố Hà Nội,Huyện Hoài Đức,Xã Vân Canh
     01128,Trung tâm viễn thông khu vực 1( YTCQ),Trung tâm viễn thông khu vực 1( YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Thành phố Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1
     31002,TTYT  Quận Hồng Bàng,Hong Bang District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hải Phòng,Quận Hồng Bàng,Phường Quán Toan
     31004,TTYT  Quận Lê Chân,Le Chan District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hải Phòng,Quận Lê Chân,Phường Trại Cau
     31012,TTYT  Quận Đồ Sơn,Do Son District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hải Phòng,Quận Đồ Sơn,Phường Ngọc Xuyên
     31007,TTYT  Huyện An Dương,An Duong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hải Phòng,Huyện An Dương,Thị trấn An Dương
     31020,TTYT  Quận Hải An,Hai An District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hải Phòng,Quận Hải An,Phường Cát Bi
     31008,Bệnh viện đa khoa huyện An Lão (CS1),An Lao District General Hospital (CS1),Bệnh viện đa khoa,Tuyến tỉnh,Thành phố Hải Phòng,Huyện An Lão,Thị trấn An Lão
     31011,TTYT  Huyện Kiến Thụy,Kien Thuy District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Thành phố Hải Phòng,Huyện Kiến Thuỵ,Thị trấn Núi Đối
     26008,Trung tâm y tế thành phố Vĩnh Yên,Vinh Yen City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Thành phố Vĩnh Yên,Phường Tích Sơn
     01130,Đại học Sư phạm Hà Nội 2 (YTCQ),Đại học Sư phạm Hà Nội 2 (YTCQ),Cơ sở y tế cơ quan,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Thành phố Phúc Yên,Phường Xuân Hoà
     26026,Trung tâm y tế huyện Tam Đảo,Tam Dao District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Tam Đảo,Xã Hồ Sơn
     26004,TTYT  Huyện Tam Dương,Tam Duong District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Tam Dương,Xã An Hòa
     26007,Trung tâm Y tế Huyện Bình Xuyên,Binh Xuyen District Health Center (CS1-Hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Bình Xuyên,Thị trấn Hương Canh
     26005,Trung tâm y tế huyện Vĩnh Tường,Vinh Tuong District Health Center (CS1),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Vĩnh Tường,Thị trấn Vĩnh Tường
     26006,Trung tâm y tế huyện Yên Lạc,Yen Lac District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Yên Lạc,Thị trấn Yên Lạc
     26003,TTYT  Huyện Sông Lô,Song Lo District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Vĩnh Phúc,Huyện Sông Lô,Xã Tân Lập
     ,BV Dã chiến số 4 Bắc Ninh (BV YHCT & PHCN và BV Phổi),Bac Ninh Provincial Traditional Medicine and Rehabilitation Hospital (CS2),Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Bắc Ninh,Thành phố Bắc Ninh,Phường Thị Cầu
     27005,TTYT  Huyện Yên Phong,Yen Phong District Health Center ,Trung tâm y tế,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Yên Phong,Thị trấn Chờ
     ,TTYT huyện Yên Phong,Bệnh viện đa khoa huyện Yên Phong,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Yên Phong,Thị trấn Chờ
     ,TTYT huyện Quế Võ,Bệnh viện đa khoa huyện Quế Võ,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Quế Võ,Thị trấn Phố Mới
     27008,TTYT  Huyện Quế Võ,Que Vo District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Quế Võ,Thị trấn Phố Mới
     27002,TTYT Huyện Tiên Du,Tien Du District Health Center (CS1-hospital),Bệnh viện dã chiến,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Tiên Du,Thị trấn Lim
     27004,TTYT  Thị Xã Từ Sơn,Tu Son Town Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Ninh,Thành phố Từ Sơn,Phường Đồng Nguyên
     ,TTYT thị xã Từ Sơn,Bệnh viện đa khoa thị xã Từ Sơn,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Bắc Ninh,Thành phố Từ Sơn,Phường Đồng Nguyên
     27007,TTYT  Huyện Thuận Thành,Thuan Thanh District Health Center  (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Thuận Thành,Thị trấn Hồ
     27003,TTYT  Huyện Lương Tài,Luong Tai District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Lương Tài,Thị trấn Thứa
     ,TTYT huyện Lương Tài,Bệnh viện đa khoa huyện Lương Tài,Bệnh viện đa khoa,Tuyến tỉnh,Tỉnh Bắc Ninh,Huyện Lương Tài,Thị trấn Thứa
     30001,TTYT thành phố Hải Dương,Hai Duong City Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Thành phố Hải Dương,Phường Tân Bình
     30003,Trung tâm Y tế Thành phố Chí Linh,TTYT  TP Chi Linh,,Tuyến tỉnh,Tỉnh Hải Dương,Thành phố Chí Linh,Phường Sao Đỏ
     30004,TTYT  Huyện Nam Sách,Nam Sach District Health Center,Trung tâm y tế,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Nam Sách,Thị trấn Nam Sách
     30005,TTYT  Huyện Kinh Môn,Kinh Mon Town Health Center (CS1),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Thị xã Kinh Môn,Phường An Lưu
     30010,TTYT  Huyện Kim Thành,Kim Thanh District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Kim Thành,Xã Phúc Thành A
     30008,TTYT  Huyện Gia Lộc,Gia Loc District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Gia Lộc,Thị trấn Gia Lộc
     30007,TTYT  Huyện Tứ Kỳ,Tu Ky District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Tứ Kỳ,Thị trấn Tứ Kỳ
     30012,TTYT  Huyện Cẩm Giàng,Cam Giang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Cẩm Giàng,Xã Tân Trường
     30002,TTYT  Huyện Bình Giang,Binh Giang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Bình Giang,Thị trấn Kẻ Sặt
     30011,TTYT  Huyện Thanh Miện,Thanh Mien District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Thanh Miện,Thị trấn Thanh Miện
     30006,TTYT  Huyện Ninh Giang,Ninh Giang District Health Center (CS1-Hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hải Dương,Huyện Ninh Giang,Thị trấn Ninh Giang
     33010_2,TTYT  Thành phố Hưng Yên,Hung Yen City Health Center (CS2),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Thành phố Hưng Yên,Phường Lê Lợi
     33101,TTYT  Huyện Văn Lâm,Van Lam District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Văn Lâm,Xã Lạc Đạo
     33090,TTYT  Thị xã Mỹ Hào,My Hao Town Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Thị xã Mỹ Hào,Phường Phùng Chí Kiên
     33080,TTYT  Huyện Yên Mỹ,Yen My District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Yên Mỹ,Thị trấn Yên Mỹ
     33070,TTYT  Huyện Văn Giang,Van Giang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Văn Giang,Xã Cửu Cao
     33060_2,TTYT  Huyện Khoái Châu,Khoai Chau District Health Center (CS2),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Khoái Châu,Thị trấn Khoái Châu
     33060,Trung tâm y tế Khoái Châu (CS1-BV),Khoai Chau District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Khoái Châu,Thị trấn Khoái Châu
     33050,TTYT  Huyện Ân Thi,An Thi District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Ân Thi,Thị trấn Ân Thi
     33030,TTYT  Huyện Phủ Cừ,Phu Cu District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Phù Cừ,Xã Đình Cao
     33020,TTYT  Huyện Tiên Lữ,Tien Lu District Health Center (CS1-hospital),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hưng Yên,Huyện Tiên Lữ,Thị trấn Vương
     35067,Bệnh viện lao và bệnh phổi Hà Nam,Ha Nam Provincial Tuberculosis and Lung Hospital,Bệnh viện chuyên khoa,Tuyến tỉnh,Tỉnh Hà Nam,Thành phố Phủ Lý,Phường Liêm Chính
     35036,TTYT huyện Duy Tiên,Duy Tien Town Health Center (CS2),trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hà Nam,Thị xã Duy Tiên,Phường Hòa Mạc
     35004,TTYT  Huyện Kim Bảng,Kim Bang District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Ngọc Sơn
     35022,TTYT  Huyện Thanh Liêm,Thanh Liem District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hà Nam,Huyện Thanh Liêm,Thị trấn Tân Thanh
     35046,TTYT  Huyện Bình Lục,Binh Luc District Health Center,trung tâm y tế huyện,Tuyến tỉnh,Tỉnh Hà Nam,Huyện Bình Lục,Thị trấn Bình Mỹ
