Ngày,Tỉnh/Thành phố,Thời tiết,Mô tả,Nhiệt độ (°C),Nhiệt độ cảm nhận (°C),Nhiệt độ thấp nhất(°C),Nhiệt độ cao nhất(°C),Độ ẩm (%)
2023-12-26,Thừa Thiên Huế,Rain,mưa nhẹ,17.41,17.71,15.94,18.22,96
2023-12-26,Quảng Ninh,Clouds,mây rải rác,20.03,19.45,9.74,20.33,52
2023-12-26,Hải Dương,Clouds,mây cụm,21.01,20.08,18.18,23.62,35
2023-12-26,Hưng Yên,Clouds,mây rải rác,22.69,21.85,18.16,23.84,32
2023-12-26,Bắc Ninh,Clear,bầu trời quang đãng,22.35,21.4,17.87,23.41,29
2023-12-26,Nam Định,Clouds,mây đen u ám,19.09,18.52,15.11,19.33,56
2023-12-26,Thái Bình,Clouds,mây đen u ám,21.01,20.5,13.43,20.25,51
2023-12-26,Ninh Bình,Clouds,mây cụm,20.95,20.3,18.67,23.0,46
2023-12-26,Vĩnh Phúc,Clear,bầu trời quang đãng,21.66,20.82,11.52,21.74,36
2023-12-26,Phú Thọ,Clear,bầu trời quang đãng,20.24,19.23,8.72,20.37,35
2023-12-26,Bắc Giang,Clear,bầu trời quang đãng,22.49,21.6,17.34,23.28,31
2023-12-26,Bắc Ninh,Clear,bầu trời quang đãng,22.35,21.4,17.87,23.41,29
2023-12-26,Hà Nam,Clouds,mây cụm,22.11,21.37,12.49,22.31,38
2023-12-26,Hà Tĩnh,Clouds,mây đen u ám,18.37,18.04,13.05,18.37,68
2023-12-26,Nghệ An,Clouds,mây rải rác,20.53,20.1,16.09,21.06,56
2023-12-26,Quảng Ninh,Clouds,mây rải rác,20.03,19.45,9.74,20.33,52
2023-12-26,Quảng Trị,Clouds,mây đen u ám,17.79,17.9,18.7,20.28,87
2023-12-26,Sóc Trăng,Clouds,mây cụm,30.74,32.38,22.99,28.94,51
2023-12-26,Tiền Giang,Clouds,mây cụm,32.42,33.72,20.5,32.62,44
2023-12-26,Trà Vinh,Clouds,mây cụm,30.41,32.03,23.11,30.69,52
2023-12-26,Vĩnh Long,Clouds,mây cụm,30.01,30.61,22.37,29.71,47
2023-12-26,Bến Tre,Clouds,mây cụm,31.4,33.08,22.54,31.03,49
2023-12-26,Cần Thơ,Clouds,mây thưa,29.99,34.08,22.43,29.78,66
2023-12-26,Đồng Tháp,Clouds,mây thưa,31.79,32.91,23.37,29.61,45
2023-12-26,Hậu Giang,Clouds,mây cụm,30.01,30.91,22.39,29.54,49
2023-12-26,Kiên Giang,Clouds,mây rải rác,30.96,32.75,22.86,29.28,51
2023-12-26,Long An,Clouds,mây rải rác,32.47,33.37,23.11,29.48,42
2023-12-26,An Giang,Clouds,mây thưa,31.5,32.45,21.18,31.5,45
2023-12-26,Bà Rịa - Vũng Tàu,Clouds,mây đen u ám,29.15,30.82,23.57,29.76,57
2023-12-26,Bình Dương,Clouds,mây thưa,31.81,32.74,23.72,26.86,44
2023-12-26,Bình Phước,Clear,bầu trời quang đãng,32.87,33.17,21.04,33.13,38
2023-12-26,Đồng Nai,Clouds,mây rải rác,32.45,33.34,19.44,32.49,42
2023-12-26,Tây Ninh,Clear,bầu trời quang đãng,31.1,30.9,22.02,27.19,39
2023-12-26,Đắk Lắk,Clouds,mây cụm,23.58,23.69,16.95,23.88,65
2023-12-26,Đồng Nai,Clouds,mây rải rác,32.45,33.34,19.44,32.49,42
2023-12-26,Bà Rịa - Vũng Tàu,Clouds,mây đen u ám,29.15,30.82,23.57,29.76,57
2023-12-26,Bình Dương,Clouds,mây thưa,31.81,32.74,23.72,26.86,44
